Date,Vaccinated firs dose,Vaccinated second dose,Vaccinated third dose,Percentage of vaccinated first dose,Percentage of vaccinated second dose,Percentage of vaccinated third dose
19-12-2020,64,1,0,0,0,0
20-12-2020,7447,1,0,0.08,0,0
21-12-2020,32351,1,0,0.35,0,0
22-12-2020,76983,1,0,0.83,0,0
23-12-2020,139864,1,0,1.5,0,0
24-12-2020,213246,1,0,2.29,0,0
25-12-2020,251728,1,0,2.71,0,0
26-12-2020,284328,1,0,3.06,0,0
27-12-2020,388809,1,0,4.18,0,0
28-12-2020,523744,1,0,5.63,0,0
29-12-2020,679920,1,0,7.31,0,0
30-12-2020,832918,1,0,8.96,0,0
31-12-2020,991351,1,0,10.66,0,0
01-01-2021,1062693,1,0,11.43,0,0
02-01-2021,1134373,1,0,12.2,0,0
03-01-2021,1283985,1,0,13.81,0,0
04-01-2021,1436038,2,0,15.44,0,0
05-01-2021,1561091,2,0,16.79,0,0
06-01-2021,1664319,4,0,17.9,0,0
07-01-2021,1780278,9,0,19.14,0,0
08-01-2021,1846673,12,0,19.86,0,0
09-01-2021,1891169,35,0,20.34,0,0
10-01-2021,1928754,6026,0,20.74,0.06,0
11-01-2021,1949845,25274,0,20.97,0.27,0
12-01-2021,1973832,60923,0,21.23,0.66,0
13-01-2021,2025814,117773,0,21.78,1.27,0
14-01-2021,2082199,186576,0,22.39,2.01,0
15-01-2021,2112888,222483,0,22.72,2.39,0
16-01-2021,2142301,248481,0,23.04,2.67,0
17-01-2021,2210650,333020,0,23.77,3.58,0
18-01-2021,2280302,453368,0,24.52,4.88,0
19-01-2021,2353036,591086,0,25.3,6.36,0
20-01-2021,2429755,734712,0,26.13,7.9,0
21-01-2021,2499571,898988,0,26.88,9.67,0
22-01-2021,2537373,970030,0,27.29,10.43,0
23-01-2021,2577274,1023558,0,27.71,11.01,0
24-01-2021,2646285,1164122,0,28.46,12.52,0
25-01-2021,2727085,1303497,0,29.33,14.02,0
26-01-2021,2805672,1429781,0,30.17,15.38,0
27-01-2021,2883481,1554687,0,31.01,16.72,0
28-01-2021,2962911,1685167,0,31.86,18.12,0
29-01-2021,2999497,1749889,0,32.26,18.82,0
30-01-2021,3033838,1792597,0,32.62,19.28,0
31-01-2021,3107079,1852020,0,33.41,19.92,0
01-02-2021,3189475,1887300,0,34.3,20.3,0
02-02-2021,3259427,1918306,0,35.05,20.63,0
03-02-2021,3319593,1969647,0,35.7,21.18,0
04-02-2021,3392092,2027658,0,36.48,21.8,0
05-02-2021,3425936,2056379,0,36.84,22.11,0
06-02-2021,3447504,2078563,0,37.07,22.35,0
07-02-2021,3501515,2147200,0,37.65,23.09,0
08-02-2021,3560059,2212536,0,38.28,23.79,0
09-02-2021,3626291,2279977,0,39,24.52,0
10-02-2021,3696716,2352129,0,39.75,25.29,0
11-02-2021,3777744,2424095,0,40.62,26.07,0
12-02-2021,3816745,2461593,0,41.04,26.47,0
13-02-2021,3844143,2491976,0,41.34,26.8,0
14-02-2021,3918949,2560947,0,42.14,27.54,0
15-02-2021,4000360,2636540,0,43.02,28.35,0
16-02-2021,4083690,2714706,0,43.91,29.19,0
17-02-2021,4145561,2790205,0,44.58,30,0
18-02-2021,4214606,2869829,0,45.32,30.86,0
19-02-2021,4254192,2907893,0,45.75,31.27,0
20-02-2021,4285792,2936580,0,46.09,31.58,0
21-02-2021,4365137,3014933,0,46.94,32.42,0
22-02-2021,4450084,3095424,0,47.85,33.29,0
23-02-2021,4527304,3165773,0,48.68,34.04,0
24-02-2021,4588263,3228764,0,49.34,34.72,0
25-02-2021,4639871,3293444,0,49.89,35.42,0
26-02-2021,4665687,3325395,0,50.17,35.76,0
27-02-2021,4683974,3346563,0,50.37,35.99,0
28-02-2021,4724209,3402375,0,50.8,36.59,0
01-03-2021,4769788,3463713,0,51.29,37.25,0
02-03-2021,4810847,3528375,0,51.73,37.94,0
03-03-2021,4852734,3595040,0,52.18,38.66,0
04-03-2021,4892287,3674034,0,52.61,39.51,0
05-03-2021,4909503,3714407,0,52.79,39.94,0
06-03-2021,4920122,3739708,0,52.91,40.22,0
07-03-2021,4951154,3812463,0,53.24,41,0
08-03-2021,4978391,3885647,0,53.54,41.78,0
09-03-2021,5005003,3962162,0,53.82,42.61,0
10-03-2021,5028199,4020739,0,54.07,43.24,0
11-03-2021,5051336,4089708,0,54.32,43.98,0
12-03-2021,5062491,4131040,0,54.44,44.42,0
13-03-2021,5070365,4156236,0,54.52,44.69,0
14-03-2021,5091235,4230104,0,54.75,45.49,0
15-03-2021,5111226,4308264,0,54.96,46.33,0
16-03-2021,5129842,4379658,0,55.16,47.1,0
17-03-2021,5147410,4438586,0,55.35,47.73,0
18-03-2021,5163306,4496618,0,55.52,48.35,0
19-03-2021,5170110,4524525,0,55.6,48.65,0
20-03-2021,5175255,4539785,0,55.65,48.82,0
21-03-2021,5188332,4580207,0,55.79,49.25,0
22-03-2021,5201754,4620640,0,55.94,49.69,0
23-03-2021,5204432,4627843,0,55.97,49.77,0
24-03-2021,5215288,4674285,0,56.08,50.27,0
25-03-2021,5225393,4709615,0,56.19,50.64,0
26-03-2021,5229446,4722871,0,56.23,50.79,0
27-03-2021,5231169,4727092,0,56.25,50.83,0
28-03-2021,5233224,4731662,0,56.28,50.88,0
29-03-2021,5240025,4761595,0,56.35,51.2,0
30-03-2021,5247749,4783915,0,56.43,51.44,0
31-03-2021,5255763,4803265,0,56.52,51.65,0
01-04-2021,5263776,4821833,0,56.6,51.85,0
02-04-2021,5266597,4829873,0,56.63,51.94,0
03-04-2021,5267954,4832781,0,56.65,51.97,0
04-04-2021,5277516,4855549,0,56.75,52.21,0
05-04-2021,5287732,4876704,0,56.86,52.44,0
06-04-2021,5296573,4893345,0,56.96,52.62,0
07-04-2021,5305312,4908515,0,57.05,52.78,0
08-04-2021,5314531,4925381,0,57.15,52.97,0
09-04-2021,5317956,4931496,0,57.19,53.03,0
10-04-2021,5319488,4934956,0,57.2,53.07,0
11-04-2021,5328416,4949113,0,57.3,53.22,0
12-04-2021,5337169,4962209,0,57.39,53.36,0
13-04-2021,5342830,4967055,0,57.45,53.41,0
14-04-2021,5346296,4972224,0,57.49,53.47,0
15-04-2021,5346790,4972703,0,57.5,53.47,0
16-04-2021,5350033,4979227,0,57.53,53.54,0
17-04-2021,5350789,4981158,0,57.54,53.56,0
18-04-2021,5357781,4988540,0,57.61,53.64,0
19-04-2021,5364031,4995553,0,57.68,53.72,0
20-04-2021,5370131,5002306,0,57.75,53.79,0
21-04-2021,5376312,5009271,0,57.81,53.87,0
22-04-2021,5382100,5016813,0,57.88,53.95,0
23-04-2021,5384714,5020092,0,57.9,53.98,0
24-04-2021,5385407,5021323,0,57.91,54,0
25-04-2021,5390136,5028174,0,57.96,54.07,0
26-04-2021,5395488,5035944,0,58.02,54.15,0
27-04-2021,5399861,5042422,0,58.07,54.22,0
28-04-2021,5404201,5049591,0,58.11,54.3,0
29-04-2021,5408419,5056746,0,58.16,54.38,0
30-04-2021,5410196,5059805,0,58.18,54.41,0
01-05-2021,5410588,5060643,0,58.18,54.42,0
02-05-2021,5413751,5066641,0,58.22,54.48,0
03-05-2021,5417173,5072318,0,58.25,54.55,0
04-05-2021,5420592,5076899,0,58.29,54.59,0
05-05-2021,5423732,5080818,0,58.32,54.64,0
06-05-2021,5427201,5083786,0,58.36,54.67,0
07-05-2021,5428888,5086125,0,58.38,54.69,0
08-05-2021,5429072,5086568,0,58.38,54.7,0
09-05-2021,5431838,5091226,0,58.41,54.75,0
10-05-2021,5434615,5095790,0,58.44,54.8,0
11-05-2021,5437066,5099481,0,58.47,54.84,0
12-05-2021,5438914,5102624,0,58.49,54.87,0
13-05-2021,5440758,5106149,0,58.51,54.91,0
14-05-2021,5441558,5107517,0,58.52,54.92,0
