Date,Daily_numbe_ of_deaths,new _critical_cases,Hospitalized_in_critical_condition
02-03-2020,0,0,0
03-03-2020,0,0,0
04-03-2020,0,0,0
05-03-2020,0,1,1
06-03-2020,0,1,2
07-03-2020,0,1,3
08-03-2020,0,2,5
09-03-2020,0,0,5
10-03-2020,0,1,6
11-03-2020,0,1,7
12-03-2020,0,0,7
13-03-2020,0,0,7
14-03-2020,0,1,6
15-03-2020,0,3,9
16-03-2020,0,2,11
17-03-2020,0,1,12
18-03-2020,0,4,16
19-03-2020,0,5,21
20-03-2020,1,3,23
21-03-2020,0,4,27
22-03-2020,0,11,38
23-03-2020,0,7,44
24-03-2020,3,7,48
25-03-2020,1,5,52
26-03-2020,5,10,56
27-03-2020,2,13,67
28-03-2020,1,5,70
29-03-2020,3,14,80
30-03-2020,1,13,89
31-03-2020,4,16,99
01-04-2020,8,21,111
02-04-2020,9,12,113
03-04-2020,5,24,131
04-04-2020,6,17,140
05-04-2020,7,6,135
06-04-2020,8,21,147
07-04-2020,8,18,160
08-04-2020,8,22,166
09-04-2020,9,19,166
10-04-2020,8,13,170
11-04-2020,6,26,182
12-04-2020,6,21,177
13-04-2020,9,34,192
14-04-2020,8,8,178
15-04-2020,13,26,179
16-04-2020,7,18,181
17-04-2020,9,14,165
18-04-2020,11,28,174
19-04-2020,8,8,157
20-04-2020,6,11,154
21-04-2020,10,8,145
22-04-2020,3,10,149
23-04-2020,4,11,146
24-04-2020,3,9,144
25-04-2020,3,7,136
26-04-2020,2,10,142
27-04-2020,4,3,132
28-04-2020,5,6,127
29-04-2020,6,6,122
30-04-2020,6,5,112
01-05-2020,4,5,109
02-05-2020,3,7,111
03-05-2020,3,2,101
04-05-2020,3,2,97
05-05-2020,2,0,91
06-05-2020,1,3,88
07-05-2020,1,3,84
08-05-2020,6,3,78
09-05-2020,3,5,78
10-05-2020,4,4,74
11-05-2020,5,3,69
12-05-2020,3,3,66
13-05-2020,3,2,61
14-05-2020,3,2,61
15-05-2020,0,0,61
16-05-2020,3,0,60
17-05-2020,4,3,55
18-05-2020,3,1,52
19-05-2020,2,3,51
20-05-2020,1,1,46
21-05-2020,0,2,47
22-05-2020,0,0,46
