Date,age group,New cases vaccinated,New cases expired Vaccination  ,New cases Not vaccinated,New cases vaccinated per 100k,New cases expired Vaccination  per 100k,New cases Not vaccinated per 100k
17-01-2021,60+,0,0,243,0,0,51.4
17-01-2021,All population,1,0,4729,3.9,0,66.3
17-01-2021,0-59,1,0,4450,6.4,0,66.9
18-01-2021,All population,6,0,8738,13.2,0,123.8
18-01-2021,0-59,2,0,8309,7.9,0,126
18-01-2021,60+,4,0,347,19.8,0,74.5
19-01-2021,0-59,7,0,6982,18.3,0,107
19-01-2021,All population,9,0,7359,11,0,105.3
19-01-2021,60+,2,0,321,4.6,0,69.9
20-01-2021,0-59,9,0,6809,16.4,0,105.4
20-01-2021,All population,18,0,7183,12.9,0,103.9
20-01-2021,60+,9,0,324,10.6,0,71.5
21-01-2021,0-59,15,0,5942,20.7,0,92.9
21-01-2021,All population,23,0,6289,11,0,91.9
21-01-2021,60+,8,0,301,5.8,0,67.4
22-01-2021,All population,26,0,6342,10.5,0,93.2
22-01-2021,0-59,7,0,6056,8.7,0,95.2
22-01-2021,60+,18,0,255,10.8,0,57.6
23-01-2021,60+,7,0,123,3.7,0,28
23-01-2021,All population,12,0,2015,4.4,0,29.8
23-01-2021,0-59,5,0,1875,5.9,0,29.7
24-01-2021,60+,21,0,196,8.3,0,45.2
24-01-2021,0-59,9,0,3873,8.4,0,61.9
24-01-2021,All population,30,0,4111,8.3,0,61.4
25-01-2021,60+,50,0,323,15,0,75.8
25-01-2021,0-59,23,0,7055,15.6,0,114
25-01-2021,All population,73,0,7420,15.2,0,112.2
26-01-2021,60+,66,0,300,15.6,0,71.5
26-01-2021,0-59,29,0,6278,14.9,0,102.7
26-01-2021,All population,95,0,6629,15.4,0,101.4
27-01-2021,60+,78,0,262,15.2,0,63.3
27-01-2021,0-59,42,0,6117,16.8,0,101.2
27-01-2021,All population,120,0,6474,15.7,0,100.3
28-01-2021,All population,174,0,5893,18.8,0,92.4
28-01-2021,0-59,55,0,5574,17.1,0,93.4
28-01-2021,60+,119,0,278,19.7,0,68
29-01-2021,All population,130,0,5584,13,0,88.1
29-01-2021,0-59,38,0,5347,10.7,0,90.1
29-01-2021,60+,92,0,205,14.3,0,50.4
30-01-2021,0-59,11,0,2017,2.9,0,34.2
30-01-2021,All population,37,0,2145,3.5,0,34
30-01-2021,60+,26,0,113,3.9,0,27.9
31-01-2021,60+,59,0,158,7.9,0,39.5
31-01-2021,All population,105,0,4137,8.8,0,66.4
31-01-2021,0-59,46,0,3956,10.3,0,67.8
01-02-2021,60+,130,0,288,16.1,0,73.1
01-02-2021,All population,218,0,7294,16.4,0,118.6
01-02-2021,0-59,86,0,6965,16.5,0,121
02-02-2021,60+,132,0,288,15.2,0,74.2
02-02-2021,All population,227,0,6554,15.6,0,107.8
02-02-2021,0-59,95,0,6223,16.1,0,109.3
03-02-2021,All population,177,0,6098,11.2,0,101.3
03-02-2021,60+,91,0,233,9.8,0,60.8
03-02-2021,0-59,86,0,5804,13.1,0,102.9
04-02-2021,0-59,77,0,5710,10.5,0,102.5
04-02-2021,All population,197,0,6007,11.5,0,101
04-02-2021,60+,120,0,252,12.2,0,66.5
05-02-2021,All population,170,0,5371,9.6,0,90.8
05-02-2021,0-59,77,0,5099,9.9,0,92.1
05-02-2021,60+,92,0,241,9.2,0,63.9
06-02-2021,All population,68,0,2149,3.7,0,36.5
06-02-2021,0-59,34,0,2006,4.2,0,36.4
06-02-2021,60+,34,0,133,3.3,0,35.4
07-02-2021,All population,137,0,3645,7.3,0,62.4
07-02-2021,0-59,67,0,3472,7.9,0,63.5
07-02-2021,60+,68,0,161,6.5,0,43.3
08-02-2021,All population,176,0,6504,9.2,0,112.5
08-02-2021,60+,107,0,287,10.2,0,78
08-02-2021,0-59,69,0,6184,7.9,0,114.2
09-02-2021,0-59,66,0,4815,7.4,0,90
09-02-2021,60+,81,0,242,7.7,0,66.6
09-02-2021,All population,148,0,5091,7.6,0,89.1
10-02-2021,All population,111,0,4735,5.5,0,83.9
10-02-2021,60+,56,0,214,5.2,0,59.7
10-02-2021,0-59,55,0,4484,5.9,0,84.8
11-02-2021,60+,47,0,206,4.4,0,58.3
11-02-2021,All population,93,0,4240,4.5,0,76.2
11-02-2021,0-59,46,0,4007,4.7,0,76.9
12-02-2021,All population,91,0,3884,4.3,0,70.3
12-02-2021,60+,40,0,180,3.7,0,51.3
12-02-2021,0-59,51,0,3676,5.1,0,71.1
13-02-2021,All population,29,0,1580,1.4,0,28.7
13-02-2021,60+,15,0,72,1.4,0,20.6
13-02-2021,0-59,14,0,1497,1.4,0,29.1
14-02-2021,0-59,35,0,2684,3.2,0,52.8
14-02-2021,All population,69,0,2832,3.2,0,52.2
14-02-2021,60+,33,0,129,3,0,37.6
15-02-2021,0-59,66,0,4110,5.7,0,82.1
15-02-2021,60+,33,0,215,3,0,63.8
