Date,Vaccinate first dose,Vaccinate a second dose,Vaccinate a third dose
19-12-2020,45,0,0
20-12-2020,7382,0,0
21-12-2020,24903,0,0
22-12-2020,44632,0,0
23-12-2020,62879,0,0
24-12-2020,73382,0,0
25-12-2020,38482,0,0
26-12-2020,32599,0,0
27-12-2020,104477,0,0
28-12-2020,134932,0,0
29-12-2020,156171,0,0
30-12-2020,152980,0,0
31-12-2020,158421,0,0
01-01-2021,71338,0,0
02-01-2021,71677,0,0
03-01-2021,149608,0,0
04-01-2021,152050,1,0
05-01-2021,125049,0,0
06-01-2021,103221,1,0
07-01-2021,115958,5,0
08-01-2021,66393,3,0
09-01-2021,44493,23,0
10-01-2021,37583,5990,0
11-01-2021,21089,19248,0
12-01-2021,23984,35649,0
13-01-2021,51980,56848,0
14-01-2021,56382,68804,0
15-01-2021,30687,35906,0
16-01-2021,29412,25997,0
17-01-2021,68344,84539,0
18-01-2021,69647,120347,0
19-01-2021,72731,137715,0
20-01-2021,76713,143622,0
21-01-2021,69815,164261,0
22-01-2021,37799,71039,0
23-01-2021,39901,53526,0
24-01-2021,69007,140561,0
25-01-2021,80796,139373,0
26-01-2021,78586,126283,0
27-01-2021,77800,124905,0
28-01-2021,79424,130482,0
29-01-2021,36581,64720,0
30-01-2021,34340,42706,0
31-01-2021,73238,59419,0
01-02-2021,82394,35277,0
02-02-2021,69950,31004,0
03-02-2021,60161,51340,0
04-02-2021,72494,58008,0
05-02-2021,33844,28719,0
06-02-2021,21565,22183,0
07-02-2021,54010,68634,0
08-02-2021,58545,65329,0
09-02-2021,66232,67438,0
10-02-2021,70422,72145,0
11-02-2021,81022,71965,0
12-02-2021,38999,37498,0
13-02-2021,27394,30383,0
14-02-2021,74803,68966,0
15-02-2021,81405,75591,0
16-02-2021,83325,78160,0
17-02-2021,61869,75492,0
18-02-2021,69041,79622,0
19-02-2021,39585,38060,0
20-02-2021,31598,28685,0
21-02-2021,79341,78346,0
22-02-2021,84943,80490,0
23-02-2021,77214,70347,0
24-02-2021,60955,62988,0
25-02-2021,51604,64676,0
26-02-2021,25812,31949,0
27-02-2021,18285,21164,0
28-02-2021,40230,55808,0
01-03-2021,45573,61338,0
02-03-2021,41056,64662,0
03-03-2021,41883,66663,0
04-03-2021,39544,78985,0
05-03-2021,17213,40371,0
06-03-2021,10615,25299,0
07-03-2021,31030,72754,0
08-03-2021,27232,73179,0
09-03-2021,26605,76510,0
10-03-2021,23195,58575,0
11-03-2021,23130,68966,0
12-03-2021,11149,41331,0
13-03-2021,7874,25194,0
14-03-2021,20865,73866,0
15-03-2021,19982,78156,0
16-03-2021,18606,71390,0
17-03-2021,17564,58925,0
18-03-2021,15891,58028,0
19-03-2021,6800,27904,0
20-03-2021,5143,15259,0
