Date,age group,Severe cases vaccinated,Severe cases expired Vaccination  ,Severe cases Not vaccinated,Severe cases vaccinated per 100k,Severe cases expired Vaccination  per 100k,Severe cases Not vaccinated per 100k,New Severe cases vaccinated,New severe cases expired Vaccination,New severe cases Not vaccinated,New severe cases vaccinated per 100k,New severe cases expired Vaccination  per 100k,New severe cases Not vaccinated per 100k
17-01-2021,60+,0,0,555,0,0,117.4,0,0,58,0,0,12.3
17-01-2021,All population,0,0,805,0,0,11.3,0,0,94,0,0,1.3
17-01-2021,0-59,0,0,250,0,0,3.8,0,0,36,0,0,0.5
18-01-2021,60+,1,0,557,5,0,119.5,1,0,66,5,0,14.2
18-01-2021,All population,1,0,792,2.2,0,11.2,1,0,99,2.2,0,1.4
18-01-2021,0-59,0,0,235,0,0,3.6,0,0,33,0,0,0.5
19-01-2021,60+,1,0,555,2.3,0,120.8,0,0,72,0,0,15.7
19-01-2021,All population,1,0,780,1.2,0,11.2,0,0,107,0,0,1.5
19-01-2021,0-59,0,0,225,0,0,3.4,0,0,35,0,0,0.5
20-01-2021,60+,2,0,541,2.4,0,119.4,1,0,62,1.2,0,13.7
20-01-2021,All population,2,0,767,1.4,0,11.1,1,0,92,0.7,0,1.3
20-01-2021,0-59,0,0,226,0,0,3.5,0,0,30,0,0,0.5
21-01-2021,0-59,1,0,229,1.4,0,3.6,1,0,38,1.4,0,0.6
21-01-2021,60+,4,0,512,2.9,0,114.7,2,0,54,1.5,0,12.1
21-01-2021,All population,5,0,741,2.4,0,10.8,3,0,92,1.4,0,1.3
22-01-2021,0-59,1,0,235,1.2,0,3.7,0,0,34,0,0,0.5
22-01-2021,All population,6,0,728,2.4,0,10.7,1,0,83,0.4,0,1.2
22-01-2021,60+,5,0,493,3,0,111.4,1,0,49,0.6,0,11.1
23-01-2021,60+,6,0,494,3.2,0,112.3,2,0,46,1.1,0,10.5
23-01-2021,0-59,1,0,243,1.2,0,3.8,0,0,30,0,0,0.5
23-01-2021,All population,7,0,737,2.6,0,10.9,2,0,76,0.7,0,1.1
24-01-2021,0-59,2,0,254,1.9,0,4.1,0,0,40,0,0,0.6
24-01-2021,60+,6,0,490,2.4,0,113.1,2,0,49,0.8,0,11.3
24-01-2021,All population,8,0,744,2.2,0,11.1,2,0,89,0.6,0,1.3
25-01-2021,0-59,2,0,237,1.4,0,3.8,0,0,36,0,0,0.6
25-01-2021,60+,5,0,482,1.5,0,113.1,1,0,72,0.3,0,16.9
25-01-2021,All population,7,0,720,1.5,0,10.9,1,0,109,0.2,0,1.6
26-01-2021,60+,7,0,474,1.7,0,112.9,3,0,50,0.7,0,11.9
26-01-2021,All population,9,0,734,1.5,0,11.2,3,0,99,0.5,0,1.5
26-01-2021,0-59,2,0,259,1,0,4.2,0,0,49,0,0,0.8
27-01-2021,All population,11,0,732,1.4,0,11.3,3,0,91,0.4,0,1.4
27-01-2021,0-59,3,0,267,1.2,0,4.4,1,0,38,0.4,0,0.6
27-01-2021,60+,8,0,464,1.6,0,112.1,2,0,53,0.4,0,12.8
