first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
15/03/2020,21/03/2020,0-19,Men,1115,44,0
15/03/2020,21/03/2020,0-19,Not Binary,0,0,0
15/03/2020,21/03/2020,0-19,Women,1065,39,0
15/03/2020,21/03/2020,20-24,Men,613,92,0
15/03/2020,21/03/2020,20-24,Not Binary,0,0,0
15/03/2020,21/03/2020,20-24,Women,710,50,0
15/03/2020,21/03/2020,25-29,Men,561,50,0
15/03/2020,21/03/2020,25-29,Women,760,48,0
15/03/2020,21/03/2020,30-34,Men,583,50,0
15/03/2020,21/03/2020,30-34,Women,671,32,0
15/03/2020,21/03/2020,35-39,Men,514,43,0
15/03/2020,21/03/2020,35-39,Not Binary,0,0,0
15/03/2020,21/03/2020,35-39,Women,546,32,0
15/03/2020,21/03/2020,40-44,Men,362,32,0
15/03/2020,21/03/2020,40-44,Women,433,18,0
15/03/2020,21/03/2020,45-49,Men,327,36,0
15/03/2020,21/03/2020,45-49,Not Binary,0,0,0
15/03/2020,21/03/2020,45-49,Women,413,16,0
15/03/2020,21/03/2020,50-54,Men,257,32,0
15/03/2020,21/03/2020,50-54,Women,373,25,0
15/03/2020,21/03/2020,55-59,Men,185,19,0
15/03/2020,21/03/2020,55-59,Women,359,27,0
15/03/2020,21/03/2020,60-64,Men,228,21,0
15/03/2020,21/03/2020,60-64,Women,310,20,0
15/03/2020,21/03/2020,65-69,Men,239,28,0
15/03/2020,21/03/2020,65-69,Women,210,17,0
15/03/2020,21/03/2020,70-74,Men,193,25,0
15/03/2020,21/03/2020,70-74,Women,146,0,0
15/03/2020,21/03/2020,75-79,Men,104,0,0
15/03/2020,21/03/2020,75-79,Women,80,0,0
15/03/2020,21/03/2020,80+,Men,182,0,0
15/03/2020,21/03/2020,80+,Women,222,0,0
15/03/2020,21/03/2020,NULL,Men,182,0,0
15/03/2020,21/03/2020,NULL,Not Binary,37,0,0
15/03/2020,21/03/2020,NULL,Women,199,0,0
22/03/2020,28/03/2020,0-19,Men,2533,198,0
22/03/2020,28/03/2020,0-19,Not Binary,21,0,0
22/03/2020,28/03/2020,0-19,Women,2550,186,0
22/03/2020,28/03/2020,20-24,Men,1980,215,0
22/03/2020,28/03/2020,20-24,Not Binary,18,0,0
22/03/2020,28/03/2020,20-24,Women,2332,162,0
22/03/2020,28/03/2020,25-29,Men,1832,157,0
22/03/2020,28/03/2020,25-29,Not Binary,0,0,0
22/03/2020,28/03/2020,25-29,Women,2114,134,0
22/03/2020,28/03/2020,30-34,Men,1720,115,0
22/03/2020,28/03/2020,30-34,Not Binary,0,0,0
22/03/2020,28/03/2020,30-34,Women,1777,114,0
22/03/2020,28/03/2020,35-39,Men,1347,126,0
22/03/2020,28/03/2020,35-39,Not Binary,0,0,0
22/03/2020,28/03/2020,35-39,Women,1447,74,0
22/03/2020,28/03/2020,40-44,Men,1077,84,0
22/03/2020,28/03/2020,40-44,Not Binary,0,0,0
22/03/2020,28/03/2020,40-44,Women,1263,72,0
22/03/2020,28/03/2020,45-49,Men,924,122,0
22/03/2020,28/03/2020,45-49,Not Binary,0,0,0
22/03/2020,28/03/2020,45-49,Women,1180,103,0
22/03/2020,28/03/2020,50-54,Men,740,123,0
22/03/2020,28/03/2020,50-54,Women,1120,101,0
22/03/2020,28/03/2020,55-59,Men,742,127,0
22/03/2020,28/03/2020,55-59,Not Binary,0,0,0
22/03/2020,28/03/2020,55-59,Women,991,90,0
22/03/2020,28/03/2020,60-64,Men,813,122,0
22/03/2020,28/03/2020,60-64,Women,880,74,0
22/03/2020,28/03/2020,65-69,Men,616,77,0
22/03/2020,28/03/2020,65-69,Not Binary,0,0,0
22/03/2020,28/03/2020,65-69,Women,570,63,0
22/03/2020,28/03/2020,70-74,Men,414,57,0
22/03/2020,28/03/2020,70-74,Women,391,36,0
22/03/2020,28/03/2020,75-79,Men,267,42,0
22/03/2020,28/03/2020,75-79,Women,225,19,0
22/03/2020,28/03/2020,80+,Men,410,34,0
22/03/2020,28/03/2020,80+,Not Binary,0,0,0
22/03/2020,28/03/2020,80+,Women,646,33,0
22/03/2020,28/03/2020,NULL,Men,418,0,0
22/03/2020,28/03/2020,NULL,Not Binary,119,0,0
22/03/2020,28/03/2020,NULL,Women,327,0,0
29/03/2020,04/04/2020,0-19,Men,3744,401,0
29/03/2020,04/04/2020,0-19,Not Binary,17,0,0
29/03/2020,04/04/2020,0-19,Women,3610,350,0
29/03/2020,04/04/2020,20-24,Men,4333,327,0
29/03/2020,04/04/2020,20-24,Not Binary,0,0,0
29/03/2020,04/04/2020,20-24,Women,4209,259,0
29/03/2020,04/04/2020,25-29,Men,2899,219,0
29/03/2020,04/04/2020,25-29,Not Binary,0,0,0
29/03/2020,04/04/2020,25-29,Women,2925,167,0
29/03/2020,04/04/2020,30-34,Men,2795,172,0
29/03/2020,04/04/2020,30-34,Not Binary,0,0,0
29/03/2020,04/04/2020,30-34,Women,2537,104,0
29/03/2020,04/04/2020,35-39,Men,2310,154,0
29/03/2020,04/04/2020,35-39,Not Binary,0,0,0
29/03/2020,04/04/2020,35-39,Women,2160,114,0
29/03/2020,04/04/2020,40-44,Men,1927,171,0
29/03/2020,04/04/2020,40-44,Not Binary,0,0,0
29/03/2020,04/04/2020,40-44,Women,2126,127,0
29/03/2020,04/04/2020,45-49,Men,1656,153,0
29/03/2020,04/04/2020,45-49,Not Binary,0,0,0
29/03/2020,04/04/2020,45-49,Women,2025,118,0
29/03/2020,04/04/2020,50-54,Men,1428,142,0
29/03/2020,04/04/2020,50-54,Not Binary,0,0,0
29/03/2020,04/04/2020,50-54,Women,1806,104,0
29/03/2020,04/04/2020,55-59,Men,1338,154,0
29/03/2020,04/04/2020,55-59,Not Binary,0,0,0
29/03/2020,04/04/2020,55-59,Women,1659,140,0
29/03/2020,04/04/2020,60-64,Men,1295,142,0
29/03/2020,04/04/2020,60-64,Not Binary,0,0,0
29/03/2020,04/04/2020,60-64,Women,1293,111,0
29/03/2020,04/04/2020,65-69,Men,1025,123,0
29/03/2020,04/04/2020,65-69,Not Binary,0,0,0
29/03/2020,04/04/2020,65-69,Women,818,75,0
29/03/2020,04/04/2020,70-74,Men,655,83,0
29/03/2020,04/04/2020,70-74,Women,586,59,0
29/03/2020,04/04/2020,75-79,Men,356,50,0
29/03/2020,04/04/2020,75-79,Women,337,36,0
29/03/2020,04/04/2020,80+,Men,765,75,0
29/03/2020,04/04/2020,80+,Not Binary,0,0,0
29/03/2020,04/04/2020,80+,Women,1035,96,0
29/03/2020,04/04/2020,NULL,Men,553,23,0
29/03/2020,04/04/2020,NULL,Not Binary,97,0,0
29/03/2020,04/04/2020,NULL,Women,548,19,0
05/04/2020,11/04/2020,0-19,Men,3425,372,0
05/04/2020,11/04/2020,0-19,Not Binary,21,0,0
05/04/2020,11/04/2020,0-19,Women,2837,292,0
05/04/2020,11/04/2020,20-24,Men,2954,206,0
05/04/2020,11/04/2020,20-24,Not Binary,0,0,0
05/04/2020,11/04/2020,20-24,Women,2710,177,0
